filename                result      DLC       time 
datae_30_1.txt      0.0      0.0      0.0
datae_30_2.txt      0.0      0.0      0.0
datae_30_3.txt      0.0      0.0      0.0
datae_30_4.txt      281.7473165800496      128246.11445797342      0.0
datae_30_5.txt      1997.2279712095665      1520065.3422388083      0.0
datae_30_6.txt      4904.7882346065635      7895322.960197295      0.0
datae_30_7.txt      9707.651497818895      2.670862331228706E7      0.0
datae_30_8.txt      16267.222125350292      7.431937187331863E7      0.0
datae_30_9.txt      21806.884885879328      1.1913041445833103E8      0.0
datae_30_10.txt      27930.99131759583      2.05126940786814E8      0.0
-------------------------------------------------
datae_40_1.txt      25710.42071923698      5.096848841801494E8      0.0
datae_40_2.txt      141.38175190462923      11918.126711538176      0.0
datae_40_3.txt      582.0564184397167      140140.41504271427      0.0
